Site,Month,Transect,Species,Abundance
Reef1,January,1,RedFish,4
Reef1,January,1,BlueFish,5
Reef1,January,1,BlackFish,10
Reef1,January,2,RedFish,42
Reef1,January,2,BlueFish,13
Reef1,January,3,RedFish,3
Reef1,January,3,BlackFish,8
Reef2,January,1,RedFish,5
Reef2,January,1,BlackFish,72
Reef2,January,2,BlueFish,9
Reef2,January,3,RedFish,24
Reef2,January,3,BlueFish,101
Reef2,January,3,BlackFish,65
Reef1,February,1,RedFish,52
Reef1,February,1,BlueFish,12
Reef1,February,1,BlackFish,47
Reef1,February,2,BlueFish,3
Reef1,February,2,BlackFish,69
Reef1,February,3,RedFish,8
Reef2,February,1,BlackFish,25
Reef2,February,2,RedFish,3
Reef2,February,2,BlueFish,22
Reef2,February,2,BlackFish,10
Reef2,February,3,RedFish,15
Reef2,February,3,BlueFish,84
Reef2,February,3,BlackFish,7
