Submission_ID,Common_Name,Scientific_Name,Latitude,Longitude,Date,Time,Duration_(Min)
S40183542,Emu,Dromaius novaehollandiae,-32.88533,145.8658833,10-28-2017,10:26:00,NA
S40183549,Emu,Dromaius novaehollandiae,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183592,Plumed Whistling-Duck,Dendrocygna eytoni,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183568,Black Swan,Cygnus atratus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Australian Shelduck,Tadorna tadornoides,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183580,Maned Duck,Chenonetta jubata,-33.9663108,147.4516658,10-28-2017,16:20:00,NA
S40183568,Australian Shoveler,Spatula rhynchotis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183585,Pacific Black Duck,Anas superciliosa,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183568,Pacific Black Duck,Anas superciliosa,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Pacific Black Duck,Anas superciliosa,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183568,Gray Teal,Anas gracilis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Chestnut Teal,Anas castanea,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Pink-eared Duck,Malacorhynchus membranaceus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Hardhead,Aythya australis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Australasian Grebe,Tachybaptus novaehollandiae,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Hoary-headed Grebe,Poliocephalus poliocephalus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Great Crested Grebe,Podiceps cristatus,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183544,Rock Pigeon (Feral Pigeon),Columba livia,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183549,Common Bronzewing,Phaps chalcoptera,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183516,Common Bronzewing,Phaps chalcoptera,-32.9415483,145.8327817,10-28-2017,09:38:00,5
S40183597,Common Bronzewing,Phaps chalcoptera,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Common Bronzewing,Phaps chalcoptera,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183549,Crested Pigeon,Ocyphaps lophotes,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183544,Crested Pigeon,Ocyphaps lophotes,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183547,Crested Pigeon,Ocyphaps lophotes,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Crested Pigeon,Ocyphaps lophotes,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183592,Crested Pigeon,Ocyphaps lophotes,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183549,Peaceful Dove,Geopelia placida,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183547,Peaceful Dove,Geopelia placida,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183597,Peaceful Dove,Geopelia placida,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Peaceful Dove,Geopelia placida,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183549,Bar-shouldered Dove,Geopelia humeralis,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183544,Bar-shouldered Dove,Geopelia humeralis,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183547,Bar-shouldered Dove,Geopelia humeralis,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183506,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,-32.9406233,145.79911,10-28-2017,09:00:00,16
S40183529,Shining Bronze-Cuckoo,Chrysococcyx lucidus,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183568,Black-tailed Nativehen,Tribonyx ventralis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Dusky Moorhen,Gallinula tenebrosa,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Eurasian Coot,Fulica atra,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Australasian Swamphen,Porphyrio melanotus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Baillon's Crake,Zapornia pusilla,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Pied Stilt,Himantopus leucocephalus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Red-necked Avocet,Recurvirostra novaehollandiae,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183585,Banded Lapwing,Vanellus tricolor,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183568,Masked Lapwing,Vanellus miles,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Masked Lapwing (Black-shouldered),Vanellus miles,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183568,Red-capped Plover,Charadrius ruficapillus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Red-kneed Dotterel,Erythrogonys cinctus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Black-fronted Dotterel,Elseyornis melanops,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183585,Australian Pratincole,Stiltia isabella,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183568,Whiskered Tern,Chlidonias hybrida,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Australasian Darter,Anhinga novaehollandiae,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Little Pied Cormorant,Microcarbo melanoleucos,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183568,Australian Pelican,Pelecanus conspicillatus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Australian Pelican,Pelecanus conspicillatus,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183568,White-faced Heron,Egretta novaehollandiae,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183568,Glossy Ibis,Plegadis falcinellus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183579,Australian Ibis,Threskiornis molucca,-33.923535,147.210115,10-28-2017,16:02:00,NA
S40183620,Yellow-billed Spoonbill,Platalea flavipes,-34.121,148.01877,10-28-2017,19:20:00,NA
S40183562,Black-shouldered Kite,Elanus axillaris,-33.1644399,146.3472836,10-28-2017,12:18:00,65
S40183568,Black-shouldered Kite,Elanus axillaris,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183562,Wedge-tailed Eagle,Aquila audax,-33.1644399,146.3472836,10-28-2017,12:18:00,65
S40183568,Black Kite,Milvus migrans,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Black Kite,Milvus migrans,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183568,Whistling Kite,Haliastur sphenurus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183621,Southern Boobook,Ninox novaeseelandiae,-34.3155549,148.3061938,10-28-2017,20:22:00,NA
S40183574,Laughing Kookaburra,Dacelo novaeguineae,-33.7110917,147.0842,10-28-2017,15:36:00,NA
S40183576,Red-backed Kingfisher,Todiramphus pyrrhopygius,-33.9063583,147.1947183,10-28-2017,15:55:00,NA
S40183554,Sacred Kingfisher,Todiramphus sanctus,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183544,Rainbow Bee-eater,Merops ornatus,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183547,Rainbow Bee-eater,Merops ornatus,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Rainbow Bee-eater,Merops ornatus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183597,Rainbow Bee-eater,Merops ornatus,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Rainbow Bee-eater,Merops ornatus,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183585,Australian Kestrel,Falco cenchroides,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183562,Australian Kestrel,Falco cenchroides,-33.1644399,146.3472836,10-28-2017,12:18:00,65
S40183555,Australian Kestrel,Falco cenchroides,-33.1446433,146.3001533,10-28-2017,12:11:00,NA
S40183568,Australian Kestrel,Falco cenchroides,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183585,Brown Falcon,Falco berigora,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183568,Brown Falcon,Falco berigora,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183571,Pink Cockatoo,Lophochroa leadbeateri,-33.6399383,146.9764783,10-28-2017,15:28:00,NA
S40183544,Pink Cockatoo,Lophochroa leadbeateri,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183585,Galah,Eolophus roseicapilla,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183554,Galah,Eolophus roseicapilla,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183529,Galah,Eolophus roseicapilla,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183547,Galah,Eolophus roseicapilla,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Galah,Eolophus roseicapilla,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183597,Galah,Eolophus roseicapilla,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Galah,Eolophus roseicapilla,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183590,Galah,Eolophus roseicapilla,-34.00568,147.91963,10-28-2017,17:23:00,7
S40183595,Little Corella,Cacatua sanguinea,-34.0433283,147.9342067,10-28-2017,18:57:00,NA
S40183564,Cockatiel,Nymphicus hollandicus,-33.2008233,146.3594217,10-28-2017,13:27:00,NA
S40183568,Cockatiel,Nymphicus hollandicus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183592,Turquoise Parrot,Neophema pulchella,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183529,Australian Ringneck,Barnardius zonarius,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183547,Australian Ringneck,Barnardius zonarius,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183592,Australian Ringneck,Barnardius zonarius,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183570,Eastern Rosella,Platycercus eximius,-33.48027,146.7620633,10-28-2017,15:10:00,NA
S40183597,Eastern Rosella,Platycercus eximius,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Eastern Rosella,Platycercus eximius,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183554,Greater Bluebonnet,Northiella haematogaster,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183568,Red-rumped Parrot,Psephotus haematonotus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Red-rumped Parrot,Psephotus haematonotus,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183597,Red-rumped Parrot,Psephotus haematonotus,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,Red-rumped Parrot,Psephotus haematonotus,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183549,Mulga Parrot,Psephotus varius,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183905,Spotted Bowerbird,Chlamydera maculata,-32.8543465,145.8735215,10-28-2017,10:29:00,NA
S40183547,Spotted Bowerbird,Chlamydera maculata,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183592,White-throated Treecreeper,Cormobates leucophaea,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183568,Purple-backed Fairywren,Malurus assimilis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183529,Splendid Fairywren,Malurus splendens,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183506,Splendid Fairywren,Malurus splendens,-32.9406233,145.79911,10-28-2017,09:00:00,16
S40183519,Splendid Fairywren,Malurus splendens,-32.9416767,145.839115,10-28-2017,09:44:00,15
S40183544,Splendid Fairywren,Malurus splendens,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183562,White-winged Fairywren,Malurus leucopterus,-33.1644399,146.3472836,10-28-2017,12:18:00,65
S40183568,White-winged Fairywren (Blue-and-white),Malurus leucopterus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183549,White-fronted Honeyeater,Purnella albifrons,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183529,White-fronted Honeyeater,Purnella albifrons,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183547,White-fronted Honeyeater,Purnella albifrons,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183592,Yellow-faced Honeyeater,Caligavis chrysops,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183571,Noisy Miner,Manorina melanocephala,-33.6399383,146.9764783,10-28-2017,15:28:00,NA
S40183592,Noisy Miner,Manorina melanocephala,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183547,Yellow-throated Miner,Manorina flavigula,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Yellow-throated Miner,Manorina flavigula,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183567,Yellow-throated Miner,Manorina flavigula,-33.2985783,146.3771634,10-28-2017,13:42:00,5
S40183549,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183529,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183519,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-32.9416767,145.839115,10-28-2017,09:44:00,15
S40183544,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183547,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183592,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183577,Red Wattlebird,Anthochaera carunculata,-33.9221467,147.2013817,10-28-2017,16:00:00,NA
S40183519,Singing Honeyeater,Gavicalis virescens,-32.9416767,145.839115,10-28-2017,09:44:00,15
S40183529,Yellow-plumed Honeyeater,Ptilotula ornata,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183519,Yellow-plumed Honeyeater,Ptilotula ornata,-32.9416767,145.839115,10-28-2017,09:44:00,15
S40183554,White-plumed Honeyeater,Ptilotula penicillata,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183529,White-plumed Honeyeater,Ptilotula penicillata,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183597,White-plumed Honeyeater,Ptilotula penicillata,-34.0995453,148.0073619,10-28-2017,19:08:00,11
S40183592,White-plumed Honeyeater,Ptilotula penicillata,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183549,Gray-fronted Honeyeater,Ptilotula plumula,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183585,Orange Chat,Epthianura aurifrons,-33.928477,147.5670719,10-28-2017,16:34:00,27
S40183562,Orange Chat,Epthianura aurifrons,-33.1644399,146.3472836,10-28-2017,12:18:00,65
S40183590,White-fronted Chat,Epthianura albifrons,-34.00568,147.91963,10-28-2017,17:23:00,7
S40183549,Black Honeyeater,Sugomel nigrum,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183529,Black Honeyeater,Sugomel nigrum,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183547,Black Honeyeater,Sugomel nigrum,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183549,White-eared Honeyeater,Nesoptilotis leucotis,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183529,White-eared Honeyeater,Nesoptilotis leucotis,-32.9428867,145.8803217,10-28-2017,10:10:00,11
S40183509,White-eared Honeyeater,Nesoptilotis leucotis,-32.9412533,145.8234083,10-28-2017,09:25:00,5
S40183519,White-eared Honeyeater,Nesoptilotis leucotis,-32.9416767,145.839115,10-28-2017,09:44:00,15
S40183577,Blue-faced Honeyeater,Entomyzon cyanotis,-33.9221467,147.2013817,10-28-2017,16:00:00,NA
S40183549,Brown-headed Honeyeater,Melithreptus brevirostris,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183506,Brown-headed Honeyeater,Melithreptus brevirostris,-32.9406233,145.79911,10-28-2017,09:00:00,16
S40183509,Brown-headed Honeyeater,Melithreptus brevirostris,-32.9412533,145.8234083,10-28-2017,09:25:00,5
S40183547,Brown-headed Honeyeater,Melithreptus brevirostris,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183592,Brown-headed Honeyeater,Melithreptus brevirostris,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183554,Striped Honeyeater,Plectorhyncha lanceolata,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183549,Striped Honeyeater,Plectorhyncha lanceolata,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183516,Striped Honeyeater,Plectorhyncha lanceolata,-32.9415483,145.8327817,10-28-2017,09:38:00,5
S40183592,Striped Honeyeater,Plectorhyncha lanceolata,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183554,Little Friarbird,Philemon citreogularis,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183544,Little Friarbird,Philemon citreogularis,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183592,Little Friarbird,Philemon citreogularis,-33.93996,147.91735,10-28-2017,17:36:00,61
S40183544,Noisy Friarbird,Philemon corniculatus,-32.839966,145.879422,10-28-2017,10:31:00,7
S40183554,Striated Pardalote,Pardalotus striatus,-33.13833,146.29138,10-28-2017,12:04:00,6
S40183549,Striated Pardalote,Pardalotus striatus,-32.9590235,146.1597276,10-28-2017,11:21:00,13
S40183547,Striated Pardalote,Pardalotus striatus,-32.9657046,146.1612511,10-28-2017,10:59:00,22
S40183568,Striated Pardalote,Pardalotus striatus,-33.3152879,146.3799262,10-28-2017,13:50:00,49
S40183597,Striated Pardalote,Pardalotus striatus,-34.0995453,148.0073619,10-28-2017,19:08:00,11
