Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2013,01,01,34.8,1,Y
IDCJAC0010,080023,2013,01,02,31.2,1,Y
IDCJAC0010,080023,2013,01,03,38.7,1,Y
IDCJAC0010,080023,2013,01,04,43.2,1,Y
IDCJAC0010,080023,2013,01,05,44.5,1,Y
IDCJAC0010,080023,2013,01,06,39.3,1,Y
IDCJAC0010,080023,2013,01,07,43.2,1,Y
IDCJAC0010,080023,2013,01,08,37.0,1,Y
IDCJAC0010,080023,2013,01,09,25.5,1,Y
IDCJAC0010,080023,2013,01,10,31.3,1,Y
IDCJAC0010,080023,2013,01,11,41.7,1,Y
IDCJAC0010,080023,2013,01,12,27.2,1,Y
IDCJAC0010,080023,2013,01,13,18.5,1,Y
IDCJAC0010,080023,2013,01,14,26.8,1,Y
IDCJAC0010,080023,2013,01,15,32.7,1,Y
IDCJAC0010,080023,2013,01,16,37.2,1,Y
IDCJAC0010,080023,2013,01,17,43.5,1,Y
IDCJAC0010,080023,2013,01,18,34.5,1,Y
IDCJAC0010,080023,2013,01,19,29.0,1,Y
IDCJAC0010,080023,2013,01,20,33.9,1,Y
IDCJAC0010,080023,2013,01,21,37.7,1,Y
IDCJAC0010,080023,2013,01,22,32.6,1,Y
IDCJAC0010,080023,2013,01,23,30.2,1,Y
IDCJAC0010,080023,2013,01,24,37.2,1,Y
IDCJAC0010,080023,2013,01,25,33.3,1,Y
IDCJAC0010,080023,2013,01,26,30.0,1,Y
IDCJAC0010,080023,2013,01,27,29.6,1,Y
IDCJAC0010,080023,2013,01,28,31.3,1,Y
IDCJAC0010,080023,2013,01,29,27.1,1,Y
IDCJAC0010,080023,2013,01,30,29.3,1,Y
IDCJAC0010,080023,2013,01,31,31.7,1,Y
IDCJAC0010,080023,2013,02,01,22.7,1,Y
IDCJAC0010,080023,2013,02,02,26.9,1,Y
IDCJAC0010,080023,2013,02,03,31.3,1,Y
IDCJAC0010,080023,2013,02,04,31.3,1,Y
IDCJAC0010,080023,2013,02,05,34.7,1,Y
IDCJAC0010,080023,2013,02,06,39.2,1,Y
IDCJAC0010,080023,2013,02,07,38.9,1,Y
IDCJAC0010,080023,2013,02,08,35.5,1,Y
IDCJAC0010,080023,2013,02,09,33.0,1,Y
IDCJAC0010,080023,2013,02,10,29.2,1,Y
IDCJAC0010,080023,2013,02,11,31.6,1,Y
IDCJAC0010,080023,2013,02,12,34.5,1,Y
IDCJAC0010,080023,2013,02,13,35.0,1,Y
IDCJAC0010,080023,2013,02,14,33.7,1,Y
IDCJAC0010,080023,2013,02,15,26.3,1,Y
IDCJAC0010,080023,2013,02,16,35.0,1,Y
IDCJAC0010,080023,2013,02,17,36.2,1,Y
IDCJAC0010,080023,2013,02,18,36.4,1,Y
IDCJAC0010,080023,2013,02,19,37.2,1,Y
IDCJAC0010,080023,2013,02,20,31.7,1,Y
IDCJAC0010,080023,2013,02,21,34.5,1,Y
IDCJAC0010,080023,2013,02,22,33.8,1,Y
IDCJAC0010,080023,2013,02,23,33.9,1,Y
IDCJAC0010,080023,2013,02,24,36.5,1,Y
IDCJAC0010,080023,2013,02,25,38.6,1,Y
IDCJAC0010,080023,2013,02,26,30.9,1,Y
IDCJAC0010,080023,2013,02,27,32.3,1,Y
IDCJAC0010,080023,2013,02,28,23.2,1,Y
IDCJAC0010,080023,2013,03,01,27.2,1,Y
IDCJAC0010,080023,2013,03,02,27.5,1,Y
IDCJAC0010,080023,2013,03,03,30.6,1,Y
IDCJAC0010,080023,2013,03,04,31.6,1,Y
IDCJAC0010,080023,2013,03,05,31.8,1,Y
IDCJAC0010,080023,2013,03,06,34.6,1,Y
IDCJAC0010,080023,2013,03,07,35.8,1,Y
IDCJAC0010,080023,2013,03,08,36.4,1,Y
IDCJAC0010,080023,2013,03,09,35.8,1,Y
IDCJAC0010,080023,2013,03,10,36.5,1,Y
IDCJAC0010,080023,2013,03,11,38.0,1,Y
IDCJAC0010,080023,2013,03,12,37.5,1,Y
IDCJAC0010,080023,2013,03,13,29.5,1,Y
IDCJAC0010,080023,2013,03,14,27.4,1,Y
IDCJAC0010,080023,2013,03,15,29.5,1,Y
IDCJAC0010,080023,2013,03,16,26.0,1,Y
IDCJAC0010,080023,2013,03,17,22.0,1,Y
IDCJAC0010,080023,2013,03,18,23.6,1,Y
IDCJAC0010,080023,2013,03,19,27.6,1,Y
IDCJAC0010,080023,2013,03,20,31.1,1,Y
IDCJAC0010,080023,2013,03,21,30.0,1,Y
IDCJAC0010,080023,2013,03,22,24.0,1,Y
IDCJAC0010,080023,2013,03,23,26.7,1,Y
IDCJAC0010,080023,2013,03,24,28.3,1,Y
IDCJAC0010,080023,2013,03,25,26.8,1,Y
IDCJAC0010,080023,2013,03,26,33.4,1,Y
IDCJAC0010,080023,2013,03,27,38.6,1,Y
