Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2012,01,01,39.0,1,Y
IDCJAC0010,080023,2012,01,02,40.4,1,Y
IDCJAC0010,080023,2012,01,03,40.7,1,Y
IDCJAC0010,080023,2012,01,04,29.6,1,Y
IDCJAC0010,080023,2012,01,05,29.4,1,Y
IDCJAC0010,080023,2012,01,06,29.1,1,Y
IDCJAC0010,080023,2012,01,07,35.7,1,Y
IDCJAC0010,080023,2012,01,08,29.0,1,Y
IDCJAC0010,080023,2012,01,09,24.9,1,Y
IDCJAC0010,080023,2012,01,10,25.7,1,Y
IDCJAC0010,080023,2012,01,11,22.5,1,Y
IDCJAC0010,080023,2012,01,12,25.1,1,Y
IDCJAC0010,080023,2012,01,13,26.1,1,Y
IDCJAC0010,080023,2012,01,14,27.5,1,Y
IDCJAC0010,080023,2012,01,15,31.7,1,Y
IDCJAC0010,080023,2012,01,16,34.2,1,Y
IDCJAC0010,080023,2012,01,17,36.2,1,Y
IDCJAC0010,080023,2012,01,18,36.5,1,Y
IDCJAC0010,080023,2012,01,19,35.2,1,Y
IDCJAC0010,080023,2012,01,20,35.8,1,Y
IDCJAC0010,080023,2012,01,21,35.0,1,Y
IDCJAC0010,080023,2012,01,22,34.7,1,Y
IDCJAC0010,080023,2012,01,23,33.7,1,Y
IDCJAC0010,080023,2012,01,24,35.0,1,Y
IDCJAC0010,080023,2012,01,25,37.1,1,Y
IDCJAC0010,080023,2012,01,26,,,
IDCJAC0010,080023,2012,01,27,35.4,2,Y
IDCJAC0010,080023,2012,01,28,35.3,1,Y
IDCJAC0010,080023,2012,01,29,34.0,1,Y
IDCJAC0010,080023,2012,01,30,28.0,1,Y
IDCJAC0010,080023,2012,01,31,25.0,1,Y
IDCJAC0010,080023,2012,02,01,28.0,1,Y
IDCJAC0010,080023,2012,02,02,27.0,1,Y
IDCJAC0010,080023,2012,02,03,30.9,1,Y
IDCJAC0010,080023,2012,02,04,35.0,1,Y
IDCJAC0010,080023,2012,02,05,34.4,1,Y
