Site,Latitude,Longitude
CC02A1,-35.56698455,144.0908209
CC02A2,-35.56076115,144.0838941
CC03A1,-35.549763,144.061048
CC03A2,-35.554108,144.065186
CC04A1,-35.54032499,144.0473571
CC04A2,-35.540363,144.054891
CC09A1,-35.551695,144.032304
CC09A2,-35.539159,144.033291
CC11A1,-35.562429,144.053195
KC02A1,-35.737417,144.319635
KC02A2,-35.731892,144.320786
KC04A1,-35.693507,144.322742
KC04A2,-35.685882,144.311374
KC06A1,-35.742879,144.313191
KC06A2,-35.738724,144.30549
KC08A1,-35.715723,144.296612
KC08A2,-35.711945,144.289375
KC10A1,-35.683159,144.302053
KC10A2,-35.680366,144.292822
KC11A1,-35.682514,144.279272
KC11A2,-35.681042,144.270898
KC13A1,-35.7039,144.267965
KC13A2,-35.704258,144.273837
KC15A1,-35.735094,144.262979
KC15A2,-35.736387,144.270457
KC16A1,-35.714917,144.245247
KC16A2,-35.711483,144.250502
KC23A1,-35.620405,144.243988
KC23A2,-35.615074,144.252802
KC30A1,-35.654657,144.214683
KC30A2,-35.648802,144.216606
KC32A1,-35.619273,144.229033
KC32A2,-35.615295,144.230886
KC33A1,-35.603897,144.239697
KC33A2,-35.595003,144.228705
KC36A1,-35.623159,144.214032
KC36A2,-35.63651,144.210043
PC18A1,-35.795814,144.380261
PC18A2,-35.795272,144.386239
PC22A1,-35.771177,144.389585
PC22A2,-35.765416,144.398076
PC30A1,-35.749737,144.341588
PC30A2,-35.753084,144.342614
PC32A1,-35.73578488,144.37569
PC32A2,-35.732807,144.368685
PC38A1,-35.717686,144.343224
PC38A2,-35.720067,144.347347
