Site,Activity,Foraging,Date,Treatment.thinned,Area.thinned,Time.since.thinned,Exclusion.thinned,Distance.murray.water,Distance.creek.water
CC02A1,299,0,9/01/2013,medium-term,0,7,25.09371995,190.3498893,444.2850339
CC02A1,276,6,8/01/2013,medium-term,0,7,25.09371995,190.3498893,444.2850339
CC02A1,530,14,7/01/2013,medium-term,0,7,25.09371995,190.3498893,444.2850339
CC02A2,356,5,8/01/2013,medium-term,0,7,25.09371995,216.2862658,885.3070355
CC02A2,571,3,9/01/2013,medium-term,0,7,25.09371995,216.2862658,885.3070355
CC02A2,631,17,7/01/2013,medium-term,0,7,25.09371995,216.2862658,885.3070355
CC03A1,144,3,11/01/2013,medium-term,0,7,15.30873359,132.5532975,236.454346
CC03A1,124,0,10/01/2013,medium-term,0,7,15.30873359,132.5532975,236.454346
CC03A1,220,7,9/01/2013,medium-term,0,7,15.30873359,132.5532975,236.454346
CC03A2,468,8,9/01/2013,medium-term,0,7,15.30873359,148.7970354,250.8941424
CC03A2,467,1,10/01/2013,medium-term,0,7,15.30873359,148.7970354,250.8941424
CC04A1,645,18,8/01/2013,short-term,0,0,11.93283123,143.9867774,102.5008964
CC04A1,584,11,11/01/2013,short-term,0,0,11.93283123,143.9867774,102.5008964
CC04A1,802,9,7/01/2013,short-term,0,0,11.93283123,143.9867774,102.5008964
CC04A1,514,4,9/01/2013,short-term,0,0,11.93283123,143.9867774,102.5008964
CC04A1,650,7,10/01/2013,short-term,0,0,11.93283123,143.9867774,102.5008964
CC04A2,589,26,7/01/2013,short-term,0,0,11.93283123,167.7200293,317.5294803
CC04A2,640,32,11/01/2013,short-term,0,0,11.93283123,167.7200293,317.5294803
CC04A2,454,13,10/01/2013,short-term,0,0,11.93283123,167.7200293,317.5294803
CC04A2,504,15,9/01/2013,short-term,0,0,11.93283123,167.7200293,317.5294803
CC04A2,601,18,8/01/2013,short-term,0,0,11.93283123,167.7200293,317.5294803
CC09A1,413,8,9/01/2013,reference,0,17,19.93079064,24.69171738,246.9171738
CC09A1,491,4,10/01/2013,reference,0,17,19.93079064,24.69171738,246.9171738
CC09A1,567,6,11/01/2013,reference,0,17,19.93079064,24.69171738,246.9171738
