Location,Species,Rep,Cd,Cr,Cu,Mn,Ni,Pb,Zn
Balls Head,Padina,P.13,0.67,3.82,68.92,106.94,1.52,32.62,96.52
Balls Head,Padina,P.14,0.5,5.84,93.5,81.98,2.74,28.77,134.64
Balls Head,Padina,P.15,0.66,9.04,116.02,124.26,3.17,62.13,150.57
Balls Head,Padina,P.16,0.89,4.93,110.55,155.92,2.43,52.46,113.51
Balls Head,Padina,P.17,0.86,4.35,117.36,160.9,1.62,47.75,126.34
Balls Head,Padina,P.18,0.78,8.68,109.8,166.7,4.16,71.59,130.13
Balls Head,Sargassum,S.13,0.54,4.6,23.14,15.2,1.6,142.26,142.26
Balls Head,Sargassum,S.14,2.34,8.96,59.15,109.05,1.67,220.29,220.29
Balls Head,Sargassum,S.15,2.24,6.81,63.57,85.52,2.5,197.29,197.29
Balls Head,Sargassum,S.16,1.56,9.1,48.56,67.08,1.93,153.52,153.52
Balls Head,Sargassum,S.17,1.13,10.12,47.6,113.23,4.33,198.7,198.7
Balls Head,Sargassum,S.18,2.02,8.71,39.26,95.31,3.91,218.22,218.22
Berrys Bay,Padina,P.31,0.63,4.75,91.68,76.55,2.02,24.57,110.57
Berrys Bay,Padina,P.32,1.09,4.59,86.77,45.16,1.45,32.05,110.22
Berrys Bay,Padina,P.33,0.55,4.59,144.39,146.54,3.05,46.38,140.82
Berrys Bay,Padina,P.34,0.59,6.25,81.66,67.75,2.35,33.35,124.16
Berrys Bay,Padina,P.35,1.13,4.27,76.01,38.19,2.74,22.8,102.17
Berrys Bay,Padina,P.36,0.47,4.13,136.58,111.92,1.04,41.19,136.84
Berrys Bay,Sargassum,S.31,1.31,2.56,16.27,12.07,4.04,62.84,62.84
Berrys Bay,Sargassum,S.32,1.61,3.78,25.79,17.29,3.46,154.74,154.74
Berrys Bay,Sargassum,S.33,1.2,3.87,19.26,9.73,8.77,88.61,88.61
Berrys Bay,Sargassum,S.34,2.14,3.8,18.14,24.97,1.35,100.76,100.76
Berrys Bay,Sargassum,S.35,1.29,1.98,20.94,12.96,2.1,70.54,70.54
Berrys Bay,Sargassum,S.36,1.01,5.89,16.56,23.87,-0.67,96.96,96.96
Felix Bay,Padina,P.55,0.44,5.01,43.41,33.16,2.13,23.32,76.06
Felix Bay,Padina,P.56,1.14,4.83,39.54,29.26,0.98,21.17,68.7
Felix Bay,Padina,P.57,0.85,8,57,48.85,2.84,42.69,85.13
Felix Bay,Padina,P.58,0.92,11.08,32.95,75.81,4.2,47.8,243.01
Felix Bay,Padina,P.59,0.75,2.82,70.72,25.5,0.63,24.66,79.51
Felix Bay,Padina,P.60,0.39,6.8,57.19,46.11,2.48,111.22,91.45
Felix Bay,Sargassum,S.55,1.76,3.1,21.37,19.61,2.41,102.06,102.06
Felix Bay,Sargassum,S.56,2.16,1.64,13.35,11.44,0.57,53.16,53.16
Felix Bay,Sargassum,S.57,1.63,1.08,9.51,7.66,0.53,40.21,40.21
Felix Bay,Sargassum,S.58,2.25,1.18,11,8.49,1.76,45.46,45.46
Felix Bay,Sargassum,S.59,1.92,3.26,14.97,13.19,1.47,97.76,97.76
Felix Bay,Sargassum,S.60,2.43,1.63,14.23,9.12,0.35,58.08,58.08
Hermit Point,Padina,P.49,0.7,8.97,107.8,104.83,2.85,42.11,100.75
Hermit Point,Padina,P.50,0.59,3.21,35.82,36.39,1.57,26.3,70.77
Hermit Point,Padina,P.51,0.62,3.81,81.2,50.17,2.6,16.59,89.78
Hermit Point,Padina,P.52,0.86,2.59,60.41,25.08,2.12,26.24,82.52
Hermit Point,Padina,P.53,0.53,3.98,79.93,33.97,2.52,19.33,94.37
Hermit Point,Padina,P.54,0.88,2.92,98.75,38.66,2.09,21.79,84.64
Hermit Point,Sargassum,S.49,1.2,5.5,43.47,31.64,2.21,133.87,133.87
Hermit Point,Sargassum,S.50,1.52,5.56,26.7,43.66,2.68,118.3,118.3
Hermit Point,Sargassum,S.51,2.47,8.83,27.56,46.85,3.81,143.08,143.08
Hermit Point,Sargassum,S.52,2.56,2.43,16.14,16.11,0.28,72,72
Hermit Point,Sargassum,S.53,1.69,8.06,17.62,17.57,1.76,77.94,77.94
Hermit Point,Sargassum,S.54,2,3.2,20.79,15.77,1.15,78.2,78.2
Neutral Bay,Padina,P.37,0.73,9.33,91.49,57.92,2.77,60.19,127.27
Neutral Bay,Padina,P.38,0.71,4.6,132.32,80.96,0.81,45.26,111.04
Neutral Bay,Padina,P.39,0.77,5.52,181.65,123.57,1.29,60.05,136.97
Neutral Bay,Padina,P.40,0.87,3.11,98.64,56.05,1.38,26.49,95.67
Neutral Bay,Padina,P.41,1.57,10.49,114.43,87.22,2.62,88.54,140.83
Neutral Bay,Padina,P.42,0.91,2.1,86.28,68.79,0.87,38.4,88.15
Neutral Bay,Sargassum,S.37,2.34,8.8,35.43,80.98,2.93,175.36,175.36
Neutral Bay,Sargassum,S.38,0.15,1.49,16.55,7.56,-0.21,71,71
Neutral Bay,Sargassum,S.39,3.45,1.7,11.25,10.98,0.8,114.18,114.18
Neutral Bay,Sargassum,S.40,1.31,1.66,10.15,6.65,2.42,63.3,63.3
Neutral Bay,Sargassum,S.41,2.42,1.71,12.44,11.56,1.43,76.52,76.52
Neutral Bay,Sargassum,S.42,1.56,2.81,20.79,10.03,1.49,63.18,63.18
