"","Dist","Time","CrabPres"
"1",0,5,0
"2",0,5,1
"3",0,5,1
"4",0,5,0
"5",0,5,0
"6",2,5,0
"7",2,5,0
"8",2,5,1
"9",2,5,0
"10",2,5,0
"11",10,5,1
"12",10,5,0
"13",10,5,0
"14",10,5,1
"15",10,5,0
"16",0,10,0
"17",0,10,0
"18",0,10,1
"19",0,10,1
"20",0,10,1
"21",2,10,0
"22",2,10,0
"23",2,10,1
"24",2,10,0
"25",2,10,0
"26",10,10,1
"27",10,10,0
"28",10,10,1
"29",10,10,1
"30",10,10,0
"31",0,5,0
"32",0,5,0
"33",0,5,0
"34",0,5,0
"35",0,5,0
"36",2,5,0
"37",2,5,0
"38",2,5,0
"39",2,5,0
"40",2,5,0
"41",10,5,0
"42",10,5,0
"43",10,5,0
"44",10,5,0
"45",10,5,0
"46",0,10,0
"47",0,10,0
"48",0,10,0
"49",0,10,0
"50",0,10,1
"51",2,10,1
"52",2,10,1
"53",10,10,0
"54",10,10,1
"55",10,10,0
"56",10,10,1
"57",10,10,1
