Treatment,Site,Acarina,Amphipoda,Araneae,Blattodea,Coleoptera,Collembola,Dermaptera,Diotocardia,Diplura,Diptera,Formicidae,Haplotaxida,Hemiptera,Hymenoptera,Isopoda,Larvae,Lepidoptera,Polydesmida,Pseudoscorpionida,Scolopendrida,Seolifera,Soleolifera,Thysanoptera,Tricladida
Revegetated,8,147,28,0,0,10,1700,1,1,0,11,128,4,0,0,0,3,0,0,0,0,0,3,0,0
Revegetated,8,82,27,0,0,7,3200,0,0,0,11,130,7,0,0,6,3,0,0,1,0,0,5,0,0
Revegetated,8,131,35,0,0,9,4367,0,1,0,18,120,0,7,1,2,13,0,0,2,0,0,17,0,0
Revegetated,8,25,10,0,0,59,360,0,0,0,82,9,7,5,2,1,229,0,1,0,0,0,1,0,0
Revegetated,8,20,56,1,0,12,500,0,0,0,31,38,0,0,46,0,0,0,1,0,0,5,0,0,0
Revegetated,7a,16,3,1,0,3,1850,0,0,0,26,26,2,0,2,0,0,0,0,0,0,0,0,0,0
Revegetated,7a,20,23,1,0,11,540,0,0,1,35,100,2,1,4,0,0,0,2,0,0,0,2,1,0
Revegetated,7a,20,4,0,0,4,1220,0,0,0,15,65,4,3,2,0,5,0,1,0,0,0,2,0,0
Revegetated,7a,16,0,1,0,9,621,0,0,0,16,39,4,1,2,0,3,0,2,0,0,0,0,0,0
Revegetated,7a,15,1,0,0,3,200,0,0,0,9,11,0,0,1,0,2,0,0,0,0,0,0,0,0
Revegetated,7b,12,0,1,0,6,350,0,0,0,30,24,0,1,2,0,2,0,0,0,0,1,0,0,0
Revegetated,7b,8,0,3,0,7,700,0,0,0,26,43,0,3,1,0,3,0,0,0,0,0,0,0,0
Revegetated,7b,13,1,2,0,10,1736,0,0,0,35,43,1,17,2,0,5,1,0,0,0,0,0,0,0
Revegetated,7b,0,0,1,0,9,700,0,0,0,35,49,0,0,1,0,3,0,0,0,0,0,0,0,0
Revegetated,3,5,5,5,0,4,970,1,0,0,9,9,1,4,4,2,4,0,0,0,0,0,1,0,0
Revegetated,3,54,8,2,1,1,367,3,0,1,3,29,1,3,0,0,2,0,0,0,1,0,1,0,0
Revegetated,3,44,23,1,0,8,3670,5,0,4,49,18,0,14,2,2,0,0,0,0,0,0,0,0,0
Revegetated,3,5,10,3,0,0,1512,9,0,0,26,22,0,22,4,3,3,0,0,0,0,0,1,0,0
Revegetated,3,4,6,2,0,1,1008,2,0,0,10,10,0,0,0,0,3,0,0,0,0,0,2,0,0
Revegetated,9,84,104,1,0,26,1250,0,0,1,16,6,0,1,2,0,3,0,1,0,0,0,1,3,0
Revegetated,9,59,64,3,0,7,1300,0,1,0,4,4,0,2,0,0,1,0,0,1,0,0,2,0,0
Revegetated,9,63,71,3,0,9,500,0,2,0,6,8,0,1,1,1,7,0,0,0,0,0,9,0,0
Revegetated,9,55,72,1,0,19,1102,0,0,0,13,5,0,0,2,0,2,0,2,0,0,0,9,0,0
Revegetated,9,59,65,2,0,8,1032,0,0,0,5,4,0,2,2,0,4,0,0,0,0,0,4,0,1
Revegetated,14,31,9,2,0,25,409,0,1,0,14,4,0,46,1,0,3,0,0,0,0,0,0,0,0
Revegetated,14,25,29,0,0,123,670,0,0,0,40,1,0,77,1,670,3,0,1,0,0,0,0,0,0
Revegetated,14,13,53,3,0,11,48,0,1,0,30,0,3,12,0,1,8,0,0,0,0,0,9,0,0
Revegetated,14,7,52,1,0,81,732,0,1,0,57,3,0,27,1,2,4,0,0,0,0,0,3,0,0
Revegetated,14,22,16,1,0,39,950,0,0,0,77,3,0,9,0,4,5,1,1,0,0,0,1,0,0
Revegetated,12b,81,0,2,0,208,2071,0,0,1,59,23,1,0,8,0,2,0,0,0,1,0,9,0,0
Revegetated,12b,47,5,1,0,200,4112,0,0,0,144,13,0,1,5,0,4,0,2,0,0,0,10,0,0
Revegetated,12b,72,4,0,0,43,1537,0,0,0,36,9,0,1,4,0,1,0,0,0,0,0,8,0,0
Revegetated,12b,42,5,0,0,108,821,0,0,0,68,9,0,1,2,0,1,0,0,0,0,0,7,0,0
Revegetated,12b,64,7,0,0,50,5000,0,0,0,28,3,0,0,2,0,1,0,0,0,0,0,6,0,0
Revegetated,12a,47,3,1,0,14,265,0,0,0,15,7,0,0,2,0,26,0,0,0,0,0,4,0,0
Revegetated,12a,8,3,0,0,6,120,0,0,0,7,1,0,0,1,1,30,0,0,0,0,0,4,0,0
Revegetated,12a,1,0,0,0,1,22,0,0,0,2,3,0,0,1,1,1,0,0,0,0,0,3,0,0
Revegetated,12a,3,4,0,0,4,69,0,0,0,4,2,2,0,1,1,13,0,0,0,0,0,2,0,0
