,Modification,Estuary,Site,Hydroid,Total,Schizoporella.errata
1,Modified,JAK,1,0,44,15
2,Modified,JAK,1,0,42,8
3,Modified,JAK,2,0,32,9
4,Modified,JAK,2,0,44,14
5,Modified,JAK,3,1,42,6
6,Modified,JAK,3,1,48,12
7,Modified,JAK,4,0,45,28
8,Modified,JAK,4,0,34,1
9,Pristine,JER,1,7,29,0
10,Pristine,JER,1,5,51,0
11,Pristine,JER,2,2,12,0
12,Pristine,JER,2,0,29,0
13,Pristine,JER,3,0,44,0
14,Pristine,JER,3,0,41,0
15,Pristine,JER,4,3,37,0
16,Pristine,JER,4,3,42,0
17,Modified,BOT,1,0,49,0
18,Modified,BOT,1,0,49,0
19,Modified,BOT,2,0,41,12
20,Modified,BOT,2,0,45,7
21,Modified,BOT,3,0,49,0
22,Modified,BOT,3,0,49,0
23,Modified,BOT,4,0,49,0
24,Modified,BOT,4,0,49,0
25,Pristine,WAG,1,0,9,0
26,Pristine,WAG,1,0,15,0
27,Pristine,WAG,2,1,30,0
28,Pristine,WAG,2,1,26,0
29,Pristine,WAG,3,2,20,0
30,Pristine,WAG,3,1,9,0
31,Pristine,WAG,4,2,2,0
32,Pristine,WAG,4,2,4,0
33,Modified,KEM,1,0,28,0
34,Modified,KEM,1,0,43,0
35,Modified,KEM,2,0,27,0
36,Modified,KEM,2,0,22,0
37,Modified,KEM,4,0,45,0
38,Modified,KEM,4,0,37,0
39,Pristine,HAK,1,0,20,0
40,Pristine,HAK,1,0,32,0
41,Pristine,HAK,2,0,31,6
42,Pristine,HAK,2,0,35,4
43,Pristine,HAK,3,1,36,4
44,Pristine,HAK,3,0,46,20
45,Pristine,HAK,4,0,8,0
46,Pristine,HAK,4,0,9,0
47,Pristine,CLY,1,0,29,4
48,Pristine,CLY,1,3,33,6
49,Pristine,CLY,2,1,25,3
50,Pristine,CLY,2,0,28,1
51,Pristine,CLY,3,1,40,0
52,Pristine,CLY,3,2,24,0
53,Pristine,CLY,4,2,19,0
54,Pristine,CLY,4,2,33,1
