Treatment,Area,Voles
Control,area1,8
Control,area1,16
Control,area1,11
Control,area1,15
Control,area1,9
Control,area1,10
Control,area1,11
Control,area1,9
Control,area1,8
Control,area1,14
Control,area2,16
Control,area2,23
Control,area2,11
Control,area2,8
Control,area2,11
Control,area2,8
Control,area2,8
Control,area2,12
Control,area2,9
Control,area2,15
Removal,area3,33
Removal,area3,26
Removal,area3,34
Removal,area3,34
Removal,area3,26
Removal,area3,41
Removal,area3,20
Removal,area3,17
Removal,area3,20
Removal,area3,26
Removal,area4,29
Removal,area4,18
Removal,area4,16
Removal,area4,18
Removal,area4,13
Removal,area4,24
Removal,area4,9
Removal,area4,21
Removal,area4,33
Removal,area4,12
