Management,Shore,Length
Protected,Healthy,10.4
Protected,Healthy,2.0
Protected,Healthy,3.0
Protected,Healthy,7.3
Protected,Healthy,9.2
Protected,Healthy,2.9
Protected,Healthy,8.4
Protected,Healthy,2.7
Protected,Healthy,10.5
Protected,Healthy,8.2
Unprotected,Healthy,2.9
Unprotected,Healthy,19.2
Unprotected,Healthy,29.8
Unprotected,Healthy,2.4
Unprotected,Healthy,3.4
Unprotected,Healthy,5.2
Unprotected,Healthy,10.1
Unprotected,Healthy,5.4
Unprotected,Healthy,9.3
Unprotected,Healthy,14.6
Unprotected,Healthy,13.8
Unprotected,Healthy,9.7
Unprotected,Healthy,8.0
Unprotected,Healthy,22.9
Unprotected,Healthy,4.8
Unprotected,Healthy,6.0
Unprotected,Healthy,17.3
Unprotected,Healthy,14.7
Unprotected,Healthy,5.7
Unprotected,Healthy,0.1
Protected,Healthy,2.0
Protected,Healthy,3.5
Protected,Healthy,9.0
Protected,Healthy,2.7
Protected,Healthy,13.1
Protected,Healthy,8.9
Protected,Healthy,4.9
Protected,Healthy,3.1
Protected,Healthy,4.0
Protected,Healthy,17.1
Protected,Urbanised,2.7
Protected,Urbanised,10.0
Protected,Urbanised,9.2
Protected,Urbanised,9.5
Protected,Urbanised,9.8
Protected,Urbanised,6.5
Protected,Urbanised,2.4
Protected,Urbanised,11.5
Protected,Urbanised,9.1
Protected,Urbanised,3.2
Unprotected,Urbanised,9.8
Unprotected,Urbanised,8.2
Unprotected,Urbanised,3.6
Unprotected,Urbanised,3.4
Unprotected,Urbanised,9.7
Unprotected,Urbanised,14.3
Unprotected,Urbanised,21.6
Unprotected,Urbanised,16.1
Unprotected,Urbanised,11.4
Unprotected,Urbanised,23.9
Unprotected,Urbanised,8.3
Unprotected,Urbanised,3.0
Unprotected,Urbanised,2.4
Unprotected,Urbanised,3.4
Unprotected,Urbanised,3.1
Unprotected,Urbanised,3.4
Unprotected,Urbanised,4.7
Unprotected,Urbanised,2.2
Unprotected,Urbanised,6.9
Unprotected,Urbanised,15.8
Protected,Urbanised,5.2
Protected,Urbanised,11.4
Protected,Urbanised,16.0
Protected,Urbanised,12.2
Protected,Urbanised,4.2
Protected,Urbanised,3.8
Protected,Urbanised,11.4
Protected,Urbanised,4.0
Protected,Urbanised,6.9
Protected,Urbanised,5.1
