Richness,Copper,Orientation
68,None,vertical
64,None,vertical
64,None,vertical
63,None,vertical
69,None,vertical
63,None,vertical
70,None,vertical
68,None,vertical
68,None,vertical
62,None,vertical
70,None,Horizontal
71,None,Horizontal
81,None,Horizontal
67,None,Horizontal
71,None,Horizontal
65,None,Horizontal
65,None,Horizontal
67,None,Horizontal
74,None,Horizontal
65,None,Horizontal
60,Low,vertical
58,Low,vertical
57,Low,vertical
62,Low,vertical
60,Low,vertical
59,Low,vertical
58,Low,vertical
58,Low,vertical
59,Low,vertical
61,Low,vertical
57,Low,Horizontal
54,Low,Horizontal
54,Low,Horizontal
57,Low,Horizontal
54,Low,Horizontal
57,Low,Horizontal
56,Low,Horizontal
56,Low,Horizontal
57,Low,Horizontal
56,Low,Horizontal
39,High,vertical
42,High,vertical
41,High,vertical
47,High,vertical
48,High,vertical
46,High,vertical
46,High,vertical
44,High,vertical
46,High,vertical
38,High,vertical
56,High,Horizontal
53,High,Horizontal
56,High,Horizontal
56,High,Horizontal
56,High,Horizontal
56,High,Horizontal
54,High,Horizontal
56,High,Horizontal
56,High,Horizontal
55,High,Horizontal
