year,co2,month,Date
1958,315.71,3,1/03/1958
1958,317.45,4,1/04/1958
1958,317.5,5,1/05/1958
1958,317.1,6,1/06/1958
1958,315.86,7,1/07/1958
1958,314.93,8,1/08/1958
1958,313.2,9,1/09/1958
1958,312.66,10,1/10/1958
1958,313.33,11,1/11/1958
1958,314.67,12,1/12/1958
1959,315.62,1,1/01/1959
1959,316.38,2,1/02/1959
1959,316.71,3,1/03/1959
1959,317.72,4,1/04/1959
1959,318.29,5,1/05/1959
1959,318.15,6,1/06/1959
1959,316.54,7,1/07/1959
1959,314.8,8,1/08/1959
1959,313.84,9,1/09/1959
1959,313.26,10,1/10/1959
1959,314.8,11,1/11/1959
1959,315.58,12,1/12/1959
1960,316.43,1,1/01/1960
1960,316.97,2,1/02/1960
1960,317.58,3,1/03/1960
1960,319.02,4,1/04/1960
1960,320.03,5,1/05/1960
1960,319.59,6,1/06/1960
1960,318.18,7,1/07/1960
1960,315.91,8,1/08/1960
1960,314.16,9,1/09/1960
1960,313.83,10,1/10/1960
1960,315,11,1/11/1960
1960,316.19,12,1/12/1960
1961,316.93,1,1/01/1961
1961,317.7,2,1/02/1961
1961,318.54,3,1/03/1961
1961,319.48,4,1/04/1961
1961,320.58,5,1/05/1961
1961,319.77,6,1/06/1961
1961,318.57,7,1/07/1961
1961,316.79,8,1/08/1961
1961,314.8,9,1/09/1961
1961,315.38,10,1/10/1961
1961,316.1,11,1/11/1961
1961,317.01,12,1/12/1961
1962,317.94,1,1/01/1962
1962,318.56,2,1/02/1962
1962,319.68,3,1/03/1962
1962,320.63,4,1/04/1962
1962,321.01,5,1/05/1962
1962,320.55,6,1/06/1962
1962,319.58,7,1/07/1962
1962,317.4,8,1/08/1962
1962,316.26,9,1/09/1962
1962,315.42,10,1/10/1962
1962,316.69,11,1/11/1962
1962,317.69,12,1/12/1962
1963,318.74,1,1/01/1963
1963,319.08,2,1/02/1963
1963,319.86,3,1/03/1963
1963,321.39,4,1/04/1963
1963,322.25,5,1/05/1963
1963,321.47,6,1/06/1963
1963,319.74,7,1/07/1963
1963,317.77,8,1/08/1963
1963,316.21,9,1/09/1963
1963,315.99,10,1/10/1963
1963,317.12,11,1/11/1963
1963,318.31,12,1/12/1963
1964,319.57,1,1/01/1964
1964,320.07,2,1/02/1964
1964,320.73,3,1/03/1964
1964,321.77,4,1/04/1964
1964,322.25,5,1/05/1964
1964,321.89,6,1/06/1964
1964,320.44,7,1/07/1964
1964,318.7,8,1/08/1964
1964,316.7,9,1/09/1964
1964,316.79,10,1/10/1964
1964,317.79,11,1/11/1964
1964,318.71,12,1/12/1964
1965,319.44,1,1/01/1965
1965,320.44,2,1/02/1965
1965,320.89,3,1/03/1965
1965,322.13,4,1/04/1965
1965,322.16,5,1/05/1965
1965,321.87,6,1/06/1965
1965,321.39,7,1/07/1965
1965,318.81,8,1/08/1965
1965,317.81,9,1/09/1965
1965,317.3,10,1/10/1965
1965,318.87,11,1/11/1965
1965,319.42,12,1/12/1965
1966,320.62,1,1/01/1966
1966,321.59,2,1/02/1966
1966,322.39,3,1/03/1966
1966,323.87,4,1/04/1966
1966,324.01,5,1/05/1966
1966,323.75,6,1/06/1966
1966,322.39,7,1/07/1966
1966,320.37,8,1/08/1966
1966,318.64,9,1/09/1966
1966,318.1,10,1/10/1966
1966,319.79,11,1/11/1966
1966,321.08,12,1/12/1966
1967,322.07,1,1/01/1967
1967,322.5,2,1/02/1967
1967,323.04,3,1/03/1967
1967,324.42,4,1/04/1967
1967,325,5,1/05/1967
1967,324.09,6,1/06/1967
1967,322.55,7,1/07/1967
1967,320.92,8,1/08/1967
1967,319.31,9,1/09/1967
1967,319.31,10,1/10/1967
1967,320.72,11,1/11/1967
1967,321.96,12,1/12/1967
1968,322.57,1,1/01/1968
1968,323.15,2,1/02/1968
1968,323.89,3,1/03/1968
1968,325.02,4,1/04/1968
1968,325.57,5,1/05/1968
1968,325.36,6,1/06/1968
1968,324.14,7,1/07/1968
1968,322.03,8,1/08/1968
1968,320.41,9,1/09/1968
1968,320.25,10,1/10/1968
1968,321.31,11,1/11/1968
1968,322.84,12,1/12/1968
1969,324,1,1/01/1969
1969,324.42,2,1/02/1969
1969,325.64,3,1/03/1969
1969,326.66,4,1/04/1969
1969,327.34,5,1/05/1969
1969,326.76,6,1/06/1969
1969,325.88,7,1/07/1969
1969,323.67,8,1/08/1969
1969,322.38,9,1/09/1969
1969,321.78,10,1/10/1969
1969,322.85,11,1/11/1969
1969,324.11,12,1/12/1969
1970,325.03,1,1/01/1970
1970,325.99,2,1/02/1970
1970,326.87,3,1/03/1970
1970,328.13,4,1/04/1970
1970,328.07,5,1/05/1970
1970,327.66,6,1/06/1970
1970,326.35,7,1/07/1970
1970,324.69,8,1/08/1970
1970,323.1,9,1/09/1970
1970,323.16,10,1/10/1970
1970,323.98,11,1/11/1970
1970,325.13,12,1/12/1970
1971,326.17,1,1/01/1971
1971,326.68,2,1/02/1971
1971,327.18,3,1/03/1971
1971,327.78,4,1/04/1971
1971,328.92,5,1/05/1971
1971,328.57,6,1/06/1971
1971,327.34,7,1/07/1971
1971,325.46,8,1/08/1971
1971,323.36,9,1/09/1971
1971,323.57,10,1/10/1971
1971,324.8,11,1/11/1971
1971,326.01,12,1/12/1971
1972,326.77,1,1/01/1972
1972,327.63,2,1/02/1972
1972,327.75,3,1/03/1972
1972,329.72,4,1/04/1972
1972,330.07,5,1/05/1972
1972,329.09,6,1/06/1972
1972,328.05,7,1/07/1972
1972,326.32,8,1/08/1972
1972,324.93,9,1/09/1972
1972,325.06,10,1/10/1972
1972,326.5,11,1/11/1972
1972,327.55,12,1/12/1972
1973,328.54,1,1/01/1973
1973,329.56,2,1/02/1973
1973,330.3,3,1/03/1973
1973,331.5,4,1/04/1973
1973,332.48,5,1/05/1973
1973,332.07,6,1/06/1973
1973,330.87,7,1/07/1973
1973,329.31,8,1/08/1973
1973,327.51,9,1/09/1973
1973,327.18,10,1/10/1973
1973,328.16,11,1/11/1973
1973,328.64,12,1/12/1973
1974,329.35,1,1/01/1974
1974,330.71,2,1/02/1974
1974,331.48,3,1/03/1974
1974,332.65,4,1/04/1974
1974,333.19,5,1/05/1974
1974,332.12,6,1/06/1974
1974,330.99,7,1/07/1974
1974,329.17,8,1/08/1974
1974,327.41,9,1/09/1974
1974,327.21,10,1/10/1974
1974,328.34,11,1/11/1974
1974,329.5,12,1/12/1974
1975,330.68,1,1/01/1975
1975,331.41,2,1/02/1975
1975,331.85,3,1/03/1975
1975,333.29,4,1/04/1975
1975,333.91,5,1/05/1975
1975,333.4,6,1/06/1975
1975,331.74,7,1/07/1975
1975,329.88,8,1/08/1975
1975,328.57,9,1/09/1975
1975,328.36,10,1/10/1975
1975,329.33,11,1/11/1975
1975,330.59,12,1/12/1975
1976,331.66,1,1/01/1976
1976,332.75,2,1/02/1976
1976,333.46,3,1/03/1976
1976,334.78,4,1/04/1976
1976,334.78,5,1/05/1976
1976,334.06,6,1/06/1976
1976,332.95,7,1/07/1976
1976,330.64,8,1/08/1976
1976,328.96,9,1/09/1976
1976,328.77,10,1/10/1976
1976,330.18,11,1/11/1976
1976,331.65,12,1/12/1976
1977,332.69,1,1/01/1977
1977,333.23,2,1/02/1977
1977,334.97,3,1/03/1977
1977,336.03,4,1/04/1977
1977,336.82,5,1/05/1977
1977,336.1,6,1/06/1977
1977,334.79,7,1/07/1977
1977,332.53,8,1/08/1977
1977,331.19,9,1/09/1977
1977,331.21,10,1/10/1977
1977,332.35,11,1/11/1977
1977,333.47,12,1/12/1977
1978,335.1,1,1/01/1978
1978,335.26,2,1/02/1978
1978,336.61,3,1/03/1978
1978,337.77,4,1/04/1978
1978,338,5,1/05/1978
1978,337.98,6,1/06/1978
1978,336.48,7,1/07/1978
1978,334.37,8,1/08/1978
1978,332.33,9,1/09/1978
1978,332.41,10,1/10/1978
1978,333.76,11,1/11/1978
1978,334.83,12,1/12/1978
1979,336.21,1,1/01/1979
1979,336.65,2,1/02/1979
1979,338.13,3,1/03/1979
1979,338.94,4,1/04/1979
1979,339,5,1/05/1979
1979,339.2,6,1/06/1979
1979,337.6,7,1/07/1979
1979,335.56,8,1/08/1979
1979,333.93,9,1/09/1979
1979,334.12,10,1/10/1979
1979,335.26,11,1/11/1979
1979,336.78,12,1/12/1979
1980,337.8,1,1/01/1980
1980,338.28,2,1/02/1980
1980,340.04,3,1/03/1980
1980,340.86,4,1/04/1980
1980,341.47,5,1/05/1980
1980,341.26,6,1/06/1980
1980,339.34,7,1/07/1980
1980,337.45,8,1/08/1980
1980,336.1,9,1/09/1980
1980,336.05,10,1/10/1980
1980,337.21,11,1/11/1980
1980,338.29,12,1/12/1980
1981,339.36,1,1/01/1981
1981,340.51,2,1/02/1981
